City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Morondava,MG,78.64,few clouds,-20.2833,44.2833,La Case Bambou
5,Atuona,PF,77.31,light rain,-9.8,-139.0333,Villa Enata
8,Mataura,NZ,70.9,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Hobart,AU,74.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
15,Hilo,US,74.93,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
17,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Bambanglipuro,ID,71.6,overcast clouds,-7.95,110.2833,Puri Brata
24,Esperance,AU,76.84,broken clouds,-33.8667,121.9,Hospitality Esperance
29,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
31,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
33,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
34,Bom Jesus,BR,72.1,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
39,New Norfolk,AU,73.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
43,Cabo San Lucas,MX,74.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
45,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
49,Marilia,BR,70.77,scattered clouds,-22.2139,-49.9458,Hotel Tenda
50,Mogadishu,SO,76.87,few clouds,2.0371,45.3438,Hotel Juba
53,Rikitea,PF,78.91,clear sky,-23.1203,-134.9692,People ThankYou
57,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
58,Oriximina,BR,75.2,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
60,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
61,Itape,PY,71.65,clear sky,-25.85,-56.6167,Santuario Diocesano Virgen Del Paso
62,Honiara,SB,80.67,light rain,-9.4333,159.95,Heritage Park Hotel
77,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
81,Souillac,MU,82.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Hithadhoo,MV,82.35,broken clouds,-0.6,73.0833,Scoop Guest House
99,Coahuayana,MX,73.29,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
100,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
106,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,Casa Tia Villa
109,Nieuw Amsterdam,SR,77.16,scattered clouds,5.8833,-55.0833,Hotel Stardust
113,Caravelas,BR,74.3,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Praya,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
121,Vao,NC,80.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
124,Grand Baie,MU,82.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
127,Takoradi,GH,78.15,overcast clouds,4.8845,-1.7554,Raybow International Hotel
134,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
137,Sao Filipe,CV,72.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
150,Copala,MX,77.47,broken clouds,16.65,-98.9833,Kaak Naab Playa Ventura
156,General Roca,AR,70.2,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
157,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
158,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
168,Nampula,MZ,71.55,broken clouds,-15.1165,39.2666,BUTIK Hotel
172,Mae Ramat,TH,75.52,scattered clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
174,Angoche,MZ,76.66,overcast clouds,-16.2325,39.9086,Guest House HESADA
179,Nata,PA,76.46,scattered clouds,8.3333,-80.5167,Rey David
184,Moerai,PF,78.58,light rain,-22.4333,-151.3333,Le Manotel
185,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
194,Codrington,AU,71.42,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
198,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
208,Campo Grande,BR,80.15,clear sky,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
209,Huarmey,PE,72.39,overcast clouds,-10.0681,-78.1522,Hotel Miramar
210,Acajutla,SV,81.81,clear sky,13.5928,-89.8275,Laureles
213,Port Macquarie,AU,78.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
214,Puerto Escondido,MX,77.18,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
