City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Constantine,DZ,36.365,6.6147,36.81,87,0,0.0,clear sky
1,Morondava,MG,-20.2833,44.2833,78.64,89,23,8.14,few clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,60.87,78,0,8.99,clear sky
3,Flinders,AU,-34.5833,150.8552,84.18,62,94,5.99,overcast clouds
4,Luwingu,ZM,-10.2621,29.9271,61.45,97,100,7.11,light rain
5,Atuona,PF,-9.8,-139.0333,77.31,80,22,13.73,light rain
6,Waingapu,ID,-9.6567,120.2641,85.53,67,80,10.69,broken clouds
7,Sivaki,RU,52.6333,126.75,10.0,85,100,5.73,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,70.9,39,100,5.77,overcast clouds
9,Senj,HR,44.9894,14.9058,35.73,96,74,3.89,broken clouds
10,Ushuaia,AR,-54.8,-68.3,40.66,70,40,26.46,scattered clouds
11,Baykit,RU,61.67,96.37,-6.9,94,47,2.95,scattered clouds
12,Hobart,AU,-42.8794,147.3294,74.01,60,75,10.36,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,68.41,78,20,20.71,few clouds
14,Yangjiang,CN,21.85,111.9667,60.94,57,16,8.66,few clouds
15,Hilo,US,19.7297,-155.09,74.93,76,0,8.05,clear sky
16,Albany,US,42.6001,-73.9662,20.48,64,34,7.0,scattered clouds
17,Kapaa,US,22.0752,-159.319,73.72,65,0,18.41,clear sky
18,Mackay,AU,-21.15,149.2,86.68,70,40,20.71,scattered clouds
19,Olafsvik,IS,64.8945,-23.7142,33.49,67,98,12.55,overcast clouds
20,Busselton,AU,-33.65,115.3333,87.04,40,0,5.1,clear sky
21,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,31,11.05,scattered clouds
22,Punta Arenas,CL,-53.15,-70.9167,42.91,61,20,12.66,few clouds
23,Bambanglipuro,ID,-7.95,110.2833,71.6,66,89,6.4,overcast clouds
24,Esperance,AU,-33.8667,121.9,76.84,57,68,13.27,broken clouds
25,Kieta,PG,-6.2167,155.6333,83.55,72,99,4.54,light rain
26,Saskylakh,RU,71.9167,114.0833,-15.03,95,21,4.0,few clouds
27,Meulaboh,ID,4.1363,96.1285,84.34,67,96,2.46,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,68.05,84,79,16.96,light rain
29,The Valley,AI,18.217,-63.0578,77.09,66,4,18.72,clear sky
30,Tasiilaq,GL,65.6145,-37.6368,22.42,85,100,25.05,overcast clouds
31,Kahului,US,20.8947,-156.47,77.02,70,40,13.8,scattered clouds
32,Kumluca,TR,36.3703,30.2869,47.68,58,1,5.35,clear sky
33,San Cristobal,VE,7.7669,-72.225,73.58,77,96,1.5,overcast clouds
34,Bom Jesus,BR,-9.0744,-44.3586,72.1,96,100,2.21,moderate rain
35,Itoman,JP,26.1247,127.6694,65.17,92,75,13.8,broken clouds
36,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.38,40,0,3.42,clear sky
37,Qaanaaq,GL,77.484,-69.3632,-7.94,68,77,7.67,broken clouds
38,Kodiak,US,57.79,-152.4072,33.31,75,0,3.44,clear sky
39,New Norfolk,AU,-42.7826,147.0587,73.65,47,83,1.01,broken clouds
40,Oswego,US,43.4501,-76.1497,12.9,83,98,1.01,overcast clouds
41,Severo-Kurilsk,RU,50.6789,156.125,26.67,69,78,16.75,broken clouds
42,Ginir,ET,7.1333,40.7,56.82,52,93,3.11,overcast clouds
43,Cabo San Lucas,MX,22.8909,-109.9124,74.52,47,71,6.6,broken clouds
44,Thompson,CA,55.7435,-97.8558,-23.64,76,0,0.0,clear sky
45,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,16.11,scattered clouds
46,Parkhill,CA,43.1501,-81.6831,15.85,88,72,3.51,broken clouds
47,Dushanbe,TJ,38.5577,68.7797,40.82,87,40,2.24,smoke
48,Jamestown,US,42.097,-79.2353,15.12,72,100,3.44,overcast clouds
49,Marilia,BR,-22.2139,-49.9458,70.77,76,38,1.28,scattered clouds
50,Mogadishu,SO,2.0371,45.3438,76.87,83,20,14.97,few clouds
51,Vaini,TO,-21.2,-175.2,86.16,74,40,12.66,scattered clouds
52,Nouadhibou,MR,20.931,-17.0347,64.38,72,99,16.11,overcast clouds
53,Rikitea,PF,-23.1203,-134.9692,78.91,71,2,14.07,clear sky
54,East London,ZA,-33.0153,27.9116,68.94,100,100,13.8,light rain
55,Barrow,US,71.2906,-156.7887,-27.38,68,0,8.05,clear sky
56,Treinta Y Tres,UY,-33.2333,-54.3833,59.25,51,1,10.6,clear sky
57,Bonoua,CI,5.2741,-3.595,80.22,88,99,3.27,overcast clouds
58,Oriximina,BR,-1.7656,-55.8661,75.2,87,96,2.13,overcast clouds
59,Kibala,TD,9.1104,18.3463,67.95,40,0,0.0,clear sky
60,Nicoya,CR,10.1483,-85.452,78.35,71,2,14.2,clear sky
61,Itape,PY,-25.85,-56.6167,71.65,60,0,4.52,clear sky
62,Honiara,SB,-9.4333,159.95,80.67,88,99,5.19,light rain
63,Pevek,RU,69.7008,170.3133,-16.67,98,100,8.01,overcast clouds
64,Garowe,SO,8.4054,48.4845,64.87,80,80,8.43,broken clouds
65,Sortavala,RU,61.7053,30.6918,33.71,98,100,11.65,overcast clouds
66,Khatanga,RU,71.9667,102.5,-26.57,100,56,2.77,broken clouds
67,Kawalu,ID,-7.3817,108.2082,84.0,72,86,1.86,overcast clouds
68,Cidreira,BR,-30.1811,-50.2056,68.67,86,20,6.46,few clouds
69,Khovu-Aksy,RU,51.1333,93.6,-3.84,80,98,2.53,overcast clouds
70,Provideniya,RU,64.3833,-173.3,-7.49,71,0,8.95,clear sky
71,Yarmouth,US,41.7057,-70.2286,33.96,92,100,12.66,snow
72,Grindavik,IS,63.8424,-22.4338,30.15,80,40,9.22,scattered clouds
73,Villa Maria,AR,-32.4075,-63.2402,57.81,88,0,7.83,clear sky
74,Tilichiki,RU,60.4667,166.1,-12.23,91,31,9.73,scattered clouds
75,Manggar,ID,-2.8833,108.2667,84.47,68,48,5.7,scattered clouds
76,Huancavelica,PE,-12.7667,-74.9833,36.3,95,100,3.47,light rain
77,Touros,BR,-5.1989,-35.4608,81.5,78,6,10.6,clear sky
78,Solnechnyy,RU,50.7214,136.6319,15.21,83,100,6.4,overcast clouds
79,Tiksi,RU,71.6872,128.8694,-10.59,90,27,9.31,scattered clouds
80,Ivanjica,RS,43.5803,20.2311,25.18,95,73,4.74,broken clouds
81,Souillac,MU,-20.5167,57.5167,82.36,94,75,9.22,light rain
82,Altay,CN,47.8667,88.1167,16.02,71,100,0.65,overcast clouds
83,Borgo San Dalmazzo,IT,44.333,7.4858,38.89,100,80,1.52,broken clouds
84,Bengkulu,ID,-3.8004,102.2655,84.92,63,78,5.06,broken clouds
85,Yellowknife,CA,62.456,-114.3525,-22.45,87,20,2.3,few clouds
86,Ribeira Grande,PT,38.5167,-28.7,57.88,68,90,2.91,overcast clouds
